House,Time,TV,Agg,hour,half_hour,quarter_hour,hour_float,TV_min,TV_max,max_consumption,half_consumption_power,on_threshold,on,Agg_diff,switched_on_tv
1,0.0,11.463,26.205,0,0,0,0.0,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,,0
1,1.0,11.702,25.771,0,0,0,0.016666666666666666,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,-0.4339999999999975,0
1,2.0,11.015999999999998,24.963,0,0,0,0.03333333333333333,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,-0.8079999999999998,0
1,3.0,11.054,96.58200000000001,0,0,0,0.05,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,71.619,0
1,4.0,11.123,100.03399999999999,0,0,0,0.06666666666666667,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,3.451999999999984,0
1,5.0,10.915999999999999,100.124,0,0,0,0.08333333333333333,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,0.09000000000000341,0
1,6.0,11.118,102.00099999999998,0,0,0,0.1,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,1.8769999999999811,0
1,7.0,11.209000000000001,101.887,0,0,0,0.11666666666666667,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,-0.1139999999999759,0
1,8.0,14.446,105.017,0,0,0,0.13333333333333333,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,3.1299999999999955,0
1,9.0,13.626,102.43600000000002,0,0,0,0.15,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,-2.5809999999999746,0
1,10.0,11.136,98.846,0,0,0,0.16666666666666666,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,-3.5900000000000176,0
1,11.0,11.485999999999999,100.353,0,0,0,0.18333333333333332,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,1.5069999999999908,0
1,12.0,11.127,98.838,0,0,0,0.2,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,-1.5150000000000006,0
1,13.0,11.235,99.022,0,0,0,0.21666666666666667,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,0.1840000000000117,0
1,14.0,11.135,98.451,0,0,0,0.23333333333333334,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,-0.5710000000000122,0
1,15.0,10.915999999999999,96.29700000000001,0,0,1,0.25,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,-2.153999999999982,0
1,16.0,10.884,96.615,0,0,1,0.26666666666666666,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,0.31799999999998363,0
1,17.0,11.482999999999999,96.398,0,0,1,0.2833333333333333,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,-0.21699999999999875,0
1,18.0,10.985999999999999,95.49,0,0,1,0.3,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,-0.9080000000000013,0
1,19.0,10.808,176.79899999999995,0,0,1,0.31666666666666665,10.533,23.303,12.770000000000001,6.385000000000001,16.918,0,81.30899999999995,0
